0,20,it,[0.1498722157679796]
1,14,en,[0.11452835394015114]
2,19,be,[0.08796749801148604]
3,16,dk,[0.07503339476017601]
4,5,cz,[0.07184116880787123]
5,18,nl,[0.051757377409743704]
6,12,ua,[0.04886944418857487]
7,10,fi,[0.03868448909573887]
8,1,at,[0.03456281243133892]
9,15,sp,[0.03425512820490435]
10,11,ru,[0.033002334819867245]
11,8,se,[0.03085028553428656]
12,0,pt,[0.027377002086754344]
13,3,de,[0.027377002086754344]
14,7,fr,[0.027377002086754337]
15,23,hr,[0.020601365172224925]
16,9,sk,[0.02060136517222492]
17,6,ch,[0.01832766150963116]
18,17,wa,[0.01832766150963116]
19,13,tr,[0.013757287480781071]
20,4,sc,[0.013757287480781071]
21,2,ma,[0.013757287480781071]
22,21,hu,[0.013757287480781071]
23,22,pl,[0.013757287480781071]
